time,polarity
2025-03-01 00:00:00,0.0
2025-03-02 00:00:00,0.0
2025-03-03 00:00:00,0.25
2025-03-04 00:00:00,
2025-03-05 00:00:00,
2025-03-06 00:00:00,
2025-03-07 00:00:00,
2025-03-08 00:00:00,
2025-03-09 00:00:00,
2025-03-10 00:00:00,
2025-03-11 00:00:00,
2025-03-12 00:00:00,
2025-03-13 00:00:00,0.0
2025-03-14 00:00:00,0.3793103448275862
2025-03-15 00:00:00,0.2
2025-03-16 00:00:00,-0.3333333333333333
2025-03-17 00:00:00,
2025-03-18 00:00:00,1.0
2025-03-19 00:00:00,
2025-03-20 00:00:00,
2025-03-21 00:00:00,
2025-03-22 00:00:00,
2025-03-23 00:00:00,
2025-03-24 00:00:00,
2025-03-25 00:00:00,0.4192269573835481
2025-03-26 00:00:00,0.33531260915123995
2025-03-27 00:00:00,0.2949260042283298
2025-03-28 00:00:00,0.3130016051364366
