time,polarity
2026-06-14 00:00:00,0.21565013404825736
2026-06-14 12:00:00,-0.05456591036939809
2026-06-15 00:00:00,-0.07815924032140248
2026-06-15 12:00:00,0.03160270880361174
2026-06-16 00:00:00,0.030585106382978722
2026-06-16 12:00:00,0.0729312762973352
2026-06-17 00:00:00,-0.057164634146341466
2026-06-17 12:00:00,-0.0235467255334805
2026-06-18 00:00:00,-0.13834586466165413
2026-06-18 12:00:00,0.14638971315529178
2026-06-19 00:00:00,0.01867219917012448
2026-06-19 12:00:00,0.1570796460176991
2026-06-20 00:00:00,0.0728744939271255
2026-06-20 12:00:00,-0.18037974683544303
2026-06-21 00:00:00,-0.13138686131386862
2026-06-21 12:00:00,0.07046979865771812
2026-06-22 00:00:00,-0.05860805860805861
2026-06-22 12:00:00,-0.03617571059431524
2026-06-23 00:00:00,-0.022222222222222223
2026-06-23 12:00:00,-0.23076923076923078
2026-06-24 00:00:00,-0.2916666666666667
2026-06-24 12:00:00,-0.5882352941176471
2026-06-25 00:00:00,0.3333333333333333
2026-06-25 12:00:00,0.3333333333333333
2026-06-26 00:00:00,0.25
2026-06-26 12:00:00,
2026-06-27 00:00:00,
2026-06-27 12:00:00,-0.6666666666666666
2026-06-28 00:00:00,-1.0
2026-06-28 12:00:00,-1.0
2026-06-29 00:00:00,
2026-06-29 12:00:00,0.0
2026-06-30 00:00:00,1.0
2026-06-30 12:00:00,0.0
2026-07-01 00:00:00,
2026-07-01 12:00:00,-1.0
2026-07-02 00:00:00,
2026-07-02 12:00:00,
2026-07-03 00:00:00,0.0
2026-07-03 12:00:00,1.0
2026-07-04 00:00:00,-1.0
2026-07-04 12:00:00,-1.0
2026-07-05 00:00:00,
2026-07-05 12:00:00,
2026-07-06 00:00:00,
2026-07-06 12:00:00,
2026-07-07 00:00:00,0.0
2026-07-07 12:00:00,
2026-07-08 00:00:00,
2026-07-08 12:00:00,
2026-07-09 00:00:00,
2026-07-09 12:00:00,
2026-07-10 00:00:00,
2026-07-10 12:00:00,
2026-07-11 00:00:00,
2026-07-11 12:00:00,
