time,polarity
2025-06-12 06:00:00,-0.26237292379558685
2025-06-12 12:00:00,0.5218257546837366
2025-06-12 18:00:00,0.2573297821006775
2025-06-13 00:00:00,0.482646052011832
2025-06-13 06:00:00,1.0870042242612097
2025-06-13 12:00:00,1.9874368546327572
2025-06-13 18:00:00,0.9125862813320964
2025-06-14 00:00:00,0.7861332727084893
2025-06-14 06:00:00,1.2793000063405573
2025-06-14 12:00:00,1.1022657942675071
2025-06-14 18:00:00,2.027671902831178
2025-06-15 00:00:00,0.5235001009517666
2025-06-15 06:00:00,0.7062682146304217
2025-06-15 12:00:00,-0.11484441373471177
2025-06-15 18:00:00,1.5448513244501323
2025-06-16 00:00:00,1.1022657942675071
2025-06-16 06:00:00,1.076231351315588
2025-06-16 12:00:00,2.1138898632563645
2025-06-16 18:00:00,1.1022657942675071
2025-06-17 00:00:00,0.21709473390225703
2025-06-17 06:00:00,0.8367144761579322
2025-06-17 12:00:00,1.5448513244501323
2025-06-17 18:00:00,-1.1106618566456181
2025-06-18 00:00:00,1.5448513244501323
2025-06-18 06:00:00,0.21709473390225703
2025-06-18 12:00:00,0.40677424683766783
2025-06-18 18:00:00,1.5448513244501323
2025-06-19 00:00:00,0.2869766597205663
2025-06-19 06:00:00,1.2793000063405573
2025-06-19 12:00:00,0.8620050778826536
2025-06-19 18:00:00,0.21709473390225703
2025-06-20 00:00:00,1.076231351315588
2025-06-20 06:00:00,1.5448513244501323
2025-06-20 12:00:00,-0.44678356137168057
2025-06-20 18:00:00,1.5448513244501323
2025-06-21 00:00:00,-0.22549079628036794
2025-06-21 06:00:00,0.21709473390225703
2025-06-21 12:00:00,-1.1106618566456181
2025-06-21 18:00:00,
2025-06-22 00:00:00,
2025-06-22 06:00:00,0.06956622384138193
2025-06-22 12:00:00,0.09638958930699575
2025-06-22 18:00:00,-0.04845658420731796
2025-06-23 00:00:00,-0.2808139875531962
2025-06-23 06:00:00,-0.22549079628036794
2025-06-23 12:00:00,-0.22549079628036794
2025-06-23 18:00:00,1.5448513244501323
2025-06-24 00:00:00,
2025-06-24 06:00:00,0.21709473390225703
2025-06-24 12:00:00,-1.1106618566456181
2025-06-24 18:00:00,
2025-06-25 00:00:00,0.8809730291761946
2025-06-25 06:00:00,
2025-06-25 12:00:00,-1.1106618566456181
2025-06-25 18:00:00,
2025-06-26 00:00:00,-1.1106618566456181
2025-06-26 06:00:00,-1.1106618566456181
2025-06-26 12:00:00,
2025-06-26 18:00:00,
2025-06-27 00:00:00,1.5448513244501323
2025-06-27 06:00:00,0.09638958930699575
2025-06-27 12:00:00,-0.22549079628036794
2025-06-27 18:00:00,0.21709473390225703
2025-06-28 00:00:00,0.8809730291761946
2025-06-28 06:00:00,-0.22549079628036794
2025-06-28 12:00:00,0.12857762786573204
2025-06-28 18:00:00,-1.1106618566456181
2025-06-29 00:00:00,0.21709473390225703
2025-06-29 06:00:00,0.45850502309277974
2025-06-29 12:00:00,0.21709473390225703
2025-06-29 18:00:00,
2025-06-30 00:00:00,0.21709473390225703
2025-06-30 06:00:00,
2025-06-30 12:00:00,-1.1106618566456181
2025-06-30 18:00:00,
2025-07-01 00:00:00,-0.44678356137168057
2025-07-01 06:00:00,-1.1106618566456181
2025-07-01 12:00:00,
2025-07-01 18:00:00,
2025-07-02 00:00:00,
2025-07-02 06:00:00,
2025-07-02 12:00:00,
2025-07-02 18:00:00,
2025-07-03 00:00:00,-1.1106618566456181
2025-07-03 06:00:00,
2025-07-03 12:00:00,
2025-07-03 18:00:00,
2025-07-04 00:00:00,
2025-07-04 06:00:00,
2025-07-04 12:00:00,
2025-07-04 18:00:00,
2025-07-05 00:00:00,
2025-07-05 06:00:00,
2025-07-05 12:00:00,
2025-07-05 18:00:00,
2025-07-06 00:00:00,
2025-07-06 06:00:00,
2025-07-06 12:00:00,
2025-07-06 18:00:00,
2025-07-07 00:00:00,
2025-07-07 06:00:00,
2025-07-07 12:00:00,
2025-07-07 18:00:00,
2025-07-08 00:00:00,
2025-07-08 06:00:00,
2025-07-08 12:00:00,
2025-07-08 18:00:00,
2025-07-09 00:00:00,1.5448513244501323
2025-07-09 06:00:00,0.3277411164479133
2025-07-09 12:00:00,-0.04845658420731796
2025-07-09 18:00:00,1.5448513244501323
2025-07-10 00:00:00,-1.1106618566456181
2025-07-10 06:00:00,-0.22549079628036794
2025-07-10 12:00:00,
2025-07-10 18:00:00,1.5448513244501323
2025-07-11 00:00:00,-0.22549079628036794
2025-07-11 06:00:00,
2025-07-11 12:00:00,
2025-07-11 18:00:00,-1.1106618566456181
2025-07-12 00:00:00,0.394128945975307
2025-07-12 06:00:00,0.46297558400371547
2025-07-12 12:00:00,-0.3781064963433422
2025-07-12 18:00:00,0.09638958930699575
2025-07-13 00:00:00,-0.2808139875531962
2025-07-13 06:00:00,0.34987039295704453
2025-07-13 12:00:00,0.482646052011832
2025-07-13 18:00:00,0.482646052011832
2025-07-14 00:00:00,-0.22549079628036794
2025-07-14 06:00:00,0.21709473390225703
2025-07-14 12:00:00,-0.35194380490397525
2025-07-14 18:00:00,-1.1106618566456181
2025-07-15 00:00:00,
2025-07-15 06:00:00,0.8809730291761946
2025-07-15 12:00:00,1.5448513244501323
2025-07-15 18:00:00,
2025-07-16 00:00:00,0.21709473390225703
2025-07-16 06:00:00,
2025-07-16 12:00:00,2.8726079149980075
