time,count
2023-03-01,0.008001536442509583
2023-03-02,-0.9073742325805894
2023-03-03,-0.9073742325805894
2023-03-04,-0.9073742325805894
2023-03-05,
2023-03-06,
2023-03-07,
2023-03-08,-0.8369607118865048
2023-03-09,0.008001536442509583
2023-03-10,
2023-03-11,1.3458584296301157
2023-03-12,0.7121367433833549
2023-03-13,0.21924209852476317
2023-03-14,-1.0482012739687583
2023-03-15,-0.9777877532746738
2023-03-16,-0.8369607118865048
2023-03-17,0.07841505713659411
2023-03-18,0.7121367433833549
2023-03-19,-0.6257201498042512
2023-03-20,-0.3440660670279131
2023-03-21,
2023-03-22,-0.2736525463338285
2023-03-23,-0.6961336704983357
2023-03-24,0.4304826606070168
2023-03-25,-0.2736525463338285
2023-03-26,2.049993636570961
2023-03-27,4.514466860863919
2023-03-28,-0.13282550494565948
2023-03-29,0.21924209852476317
2023-03-30,-0.6257201498042512
2023-03-31,-0.8369607118865048
2023-04-01,-0.6257201498042512
2023-04-02,-0.13282550494565948
2023-04-03,
2023-04-04,
2023-04-05,
2023-04-06,
2023-04-07,
2023-04-08,-0.48489310841608213
2023-04-09,0.993790826159693
2023-04-10,
2023-04-11,
2023-04-12,
2023-04-13,0.9233773054656085
2023-04-14,0.07841505713659411
2023-04-15,-0.9777877532746738
2023-04-16,0.008001536442509583
2023-04-17,-1.0482012739687583
2023-04-18,
2023-04-19,
2023-04-20,-0.48489310841608213
2023-04-21,-0.4144795877219976
2023-04-22,-0.6257201498042512
2023-04-23,-0.48489310841608213
2023-04-24,
2023-04-25,
2023-04-26,
2023-04-27,-0.8369607118865048
2023-04-28,-0.9073742325805894
2023-04-29,0.21924209852476317
2023-04-30,1.3458584296301157
2023-05-01,-0.9073742325805894
2023-05-02,-0.9777877532746738
2023-05-03,-0.9073742325805894
