time,count
2026-05-20 00:00:00,-0.41067396183433386
2026-05-20 12:00:00,-0.42101872819089065
2026-05-21 00:00:00,-0.42360491978002984
2026-05-21 12:00:00,-0.41843253660175145
2026-05-22 00:00:00,
2026-05-22 12:00:00,-0.41326015342347305
2026-05-23 00:00:00,-0.34601917210585403
2026-05-23 12:00:00,-0.3951568122994987
2026-05-24 00:00:00,-0.41584634501261225
2026-05-24 12:00:00,-0.40291538706691626
2026-05-25 00:00:00,-0.41843253660175145
2026-05-25 12:00:00,0.0988057812260871
2026-05-26 00:00:00,-0.1856752935792241
2026-05-26 12:00:00,-0.304640106679627
2026-05-27 00:00:00,-0.3253296393927405
2026-05-27 12:00:00,-0.17533052722266732
2026-05-28 00:00:00,-0.40032919547777707
2026-05-28 12:00:00,-0.2968815319122094
2026-05-29 00:00:00,-0.2529162748968431
2026-05-29 12:00:00,-0.2555024664859823
2026-05-30 00:00:00,-0.41843253660175145
2026-05-30 12:00:00,4.624641062219674
2026-05-31 00:00:00,3.318614309704382
2026-05-31 12:00:00,1.4513839823458847
2026-06-01 00:00:00,0.19190867843509804
2026-06-01 12:00:00,0.08328863169125195
2026-06-02 00:00:00,-0.22446816741631198
2026-06-02 12:00:00,-0.20636482629233763
2026-06-03 00:00:00,-0.2632610412533999
2026-06-03 12:00:00,0.8410427673090354
2026-06-04 00:00:00,-0.22705435900545118
2026-06-04 12:00:00,-0.3356744057492973
2026-06-05 00:00:00,-0.2839505739665134
2026-06-05 12:00:00,-0.2684334244316783
2026-06-06 00:00:00,-0.3641225132298284
2026-06-06 12:00:00,-0.20119244311405926
2026-06-07 00:00:00,-0.39257062071035953
2026-06-07 12:00:00,-0.37188108799724595
2026-06-08 00:00:00,
2026-06-08 12:00:00,-0.42360491978002984
2026-06-09 00:00:00,
2026-06-09 12:00:00,-0.42360491978002984
2026-06-10 00:00:00,
2026-06-10 12:00:00,-0.41843253660175145
2026-06-11 00:00:00,
2026-06-11 12:00:00,
2026-06-12 00:00:00,
2026-06-12 12:00:00,
2026-06-13 00:00:00,
2026-06-13 12:00:00,
2026-06-14 00:00:00,
2026-06-14 12:00:00,
2026-06-15 00:00:00,
2026-06-15 12:00:00,
2026-06-16 00:00:00,
2026-06-16 12:00:00,
